Year,Group,Type,CV,SE,Value,Scale
1994,nf_seal_adu,NA,0.036,,228711,1.88E-06
1995,nf_seal_adu,NA,0.036,,228511,1.88E-06
1996,nf_seal_adu,NA,0.1,,211673,1.88E-06
1997,nf_seal_adu,NA,0.099,,215497,1.88E-06
1998,nf_seal_adu,NA,0.029,,219226,1.88E-06
2000,nf_seal_adu,NA,0.089,,196899,1.88E-06
2002,nf_seal_adu,NA,0.01,,176667,1.88E-06
2004,nf_seal_adu,NA,0.01,,153059,1.88E-06
2005,nf_seal_adu,NA,0.01,,160594,1.88E-06
2006,nf_seal_adu,NA,0.011,,147900,1.88E-06
2007,nf_seal_adu,NA,0.011,,152867,1.88E-06
2008,nf_seal_adu,NA,0.009,,145149,1.88E-06
2010,nf_seal_adu,NA,0.011,,136790,1.88E-06
2011,nf_seal_adu,NA,0.011,,142121,1.88E-06
2012,nf_seal_adu,NA,0.011,,142658,1.88E-06
2014,nf_seal_adu,NA,0.009,,138829,1.88E-06
2015,nf_seal_adu,NA,0.006,,143674,1.88E-06
2016,nf_seal_adu,NA,0.007,,134131,1.88E-06
2018,nf_seal_adu,NA,0.009,,130344,1.88E-06
2019,nf_seal_adu,NA,0.011,,138609,1.88E-06
1967,gray_whales,NA,0.094,,13426,1.88E-06
1968,gray_whales,NA,0.08,,14548,1.88E-06
1969,gray_whales,NA,0.083,,14553,1.88E-06
1970,gray_whales,NA,0.081,,12771,1.88E-06
1971,gray_whales,NA,0.093,,11079,1.88E-06
1972,gray_whales,NA,0.08,,17365,1.88E-06
1973,gray_whales,NA,0.082,,17375,1.88E-06
1974,gray_whales,NA,0.084,,15290,1.88E-06
1975,gray_whales,NA,0.086,,17564,1.88E-06
1976,gray_whales,NA,0.08,,18377,1.88E-06
1977,gray_whales,NA,0.088,,19538,1.88E-06
1978,gray_whales,NA,0.08,,15384,1.88E-06
1979,gray_whales,NA,0.083,,19763,1.88E-06
1984,gray_whales,NA,0.089,,23499,1.88E-06
1985,gray_whales,NA,0.082,,22921,1.88E-06
1987,gray_whales,NA,0.058,,26916,1.88E-06
1992,gray_whales,NA,0.068,,15762,1.88E-06
1993,gray_whales,NA,0.055,,20103,1.88E-06
1995,gray_whales,NA,0.061,,20944,1.88E-06
1997,gray_whales,NA,0.068,,21135,1.88E-06
2000,gray_whales,NA,0.061,,16369,1.88E-06
2001,gray_whales,NA,0.069,,16033,1.88E-06
2006,gray_whales,NA,0.071,,19126,1.88E-06
2007,gray_whales,NA,0.077217391,,17820,1.88E-06
2009,gray_whales,NA,0.077217391,,21210,1.88E-06
2010,gray_whales,NA,0.077217391,,20990,1.88E-06
2014,gray_whales,NA,0.077217391,,28790,1.88E-06
2015,gray_whales,NA,0.077217391,,26960,1.88E-06
2019,gray_whales,NA,0.077217391,,20580,1.88E-06
2021,gray_whales,NA,0.077217391,,16650,1.88E-06
2022,gray_whales,NA,0.077217391,,14526,1.88E-06
